	transitivity	authority	pagerank	eigenvector_centrality	closeness	betweenness
LivMet_9	0.058048404679043104	0.0012548581506991291	2.029591443242475e-05	0.0012548581506993122	2.0883615701973787e-05	6358.416309796841
LivMet_72	0.012883694384476042	0.001103276140609596	0.0001737015806843842	0.0011032761406094594	0.00017372462767033917	0.9223553934340802
LivMet_71	0.016650944855669265	0.0014463232834118658	0.00010498687664041995	0.001446323283411505	0.00010501470980629777	5.501417322834645
LivMet_90	0.031327056656229854	0.001263629089798103	4.420866489832008e-05	0.0012636290897974302	4.443802033629091e-05	527.5333775419981
LivMet_33	0.02683121675318242	0.001539736814231791	6.13045610593428e-05	0.0015397368142312552	6.143999225829878e-05	101.74068170671899
LivMet_43	0.015525919603589506	0.0016829109164154027	0.00012944983818770228	0.0016829109164146253	0.00012950919778643657	7.241423948220064
LivMet_26	0.029956147703879103	0.0015034953205106461	7.259528130671508e-05	0.0015034953205103753	7.268255465468947e-05	39.625553539019975
LivMet_56	0.029604794940242905	0.0010663765875579651	5.460899956312799e-05	0.0010663765875580222	5.4752157770545143e-05	201.34343599825266
LivMet_85	0.03160447002995548	0.001161094362917183	4.06934158053227e-05	0.0011610943629157683	4.093167289674628e-05	870.8034508016613
LivMet_3	0.0077652843848605695	0.0022218243608640416	0.00020181634712411706	0.002221824360863503	0.00020184794895762066	1.1338042381432896
LivMet_78	0.03904130680697657	0.00087007162418709	2.9884645269260652e-05	0.0008700716241845304	3.0315406219170227e-05	2314.0941366325947
LivMet_64	0.014142129897253247	0.0009616162208381984	0.00013053126223730587	0.0009616162208380399	0.00013054206371407583	0.6512204673019188
LivMet_14	0.036356921462657024	0.0016345723685546344	3.673229503379372e-05	0.0016345723685563815	3.6954588053738834e-05	668.4658022333233
LivMet_6	0.03588044111658245	0.0008505552279971052	3.611412062116287e-05	0.0008505552279976968	3.625491725186274e-05	434.3002166847238
LivMet_80	0.038537409001974714	0.0013518624968370493	3.4630835295747343e-05	0.00135186249683547	3.49551472635422e-05	1360.1458304474288
LivMet_53	0.05102750989411696	0.0011467536854666155	1.953544706870617e-05	0.0011467536854683792	2.0104953970574888e-05	7051.935474418327
LivMet_23	0.016238938752116783	0.0008784431204408624	8.501955449753442e-05	0.0008784431204406662	8.504433511548703e-05	7.389389559598707
LivMet_11	0.005607242897158864	0.0013829199519160926	0.0002100840336134454	0.00138291995191616	0.00021009446947007357	0.11911764705882352
LivMet_61	0.02295595188801895	0.0012430797570458867	9.690861517588914e-05	0.0012430797570454526	9.696832529907917e-05	17.454889039635624
LivMet_89	0.031140250755839028	0.0009437361867050156	5.0377833753148616e-05	0.0009437361867040622	5.0469741821618294e-05	137.52287153652392
LivMet_74	0.03962639003127602	0.001424631478191288	2.936598831233665e-05	0.0014246314781910185	2.973834913032951e-05	3043.271899685801
LivMet_46	0.041879292346255224	0.00137961806626466	4.048582995951417e-05	0.001379618066265738	4.0788337572934724e-05	499.9792712550607
LivMet_36	0.010730174520276484	0.0009201187518067196	0.00012434717731907492	0.0009201187518073398	0.00012435638444191924	0.5435215120616762
LivMet_68	0.036847405511117294	0.001542162830268653	4.373496610540126e-05	0.0015421628302685253	4.3931876285234055e-05	347.27671113054885
LivMet_18	0.011622316771231461	0.0011935330868093163	0.00016826518593303046	0.001193533086809392	0.00016828306286331628	0.7144539794716473
